Date,Open,High,Low,Close,Adj Close,Volume
2020-06-29,209.750000,220.750000,207.110001,220.639999,220.639999,58514300
2020-06-30,220.589996,227.500000,218.470001,227.070007,227.070007,33927100
2020-07-01,228.500000,239.000000,227.559998,237.550003,237.550003,43399700
2020-07-02,239.000000,240.000000,232.610001,233.419998,233.419998,30633600
2020-07-06,233.759995,240.399994,232.270004,240.279999,240.279999,26206200
2020-07-07,239.410004,247.649994,238.820007,240.860001,240.860001,27887800
2020-07-08,238.110001,246.990005,236.589996,243.580002,243.580002,29791300
2020-07-09,245.000000,246.529999,239.240005,244.500000,244.500000,22174900
2020-07-10,243.690002,245.490005,239.320007,245.070007,245.070007,22982700
2020-07-13,247.009995,250.149994,238.419998,239.000000,239.000000,24674900
2020-07-14,236.759995,240.330002,232.029999,239.729996,239.729996,23378100
2020-07-15,241.550003,244.820007,238.050003,240.279999,240.279999,19133600
2020-07-16,238.000000,241.759995,236.330002,240.929993,240.929993,18880700
2020-07-17,241.000000,244.160004,237.860001,242.029999,242.029999,18152400
2020-07-20,240.059998,246.050003,235.639999,245.419998,245.419998,20872200
2020-07-21,246.220001,246.910004,240.080002,241.750000,241.750000,19364200
2020-07-22,240.259995,241.899994,238.119995,239.869995,239.869995,15427900
2020-07-23,239.630005,242.419998,231.750000,232.600006,232.600006,21771800
2020-07-24,230.190002,233.490005,226.899994,230.710007,230.710007,18325800
2020-07-27,231.460007,234.949997,230.830002,233.500000,233.500000,13163100
2020-07-28,234.630005,234.960007,229.830002,230.119995,230.119995,14170100
2020-07-29,231.139999,233.699997,230.309998,233.289993,233.289993,13588300
2020-07-30,230.220001,234.889999,229.000000,234.500000,234.500000,20615300
2020-07-31,255.820007,255.850006,249.000000,253.669998,253.669998,53005100
2020-08-03,252.649994,255.399994,250.330002,251.960007,251.960007,23124900
2020-08-04,251.559998,252.800003,247.429993,249.830002,249.830002,17183500
2020-08-05,250.190002,252.270004,247.770004,249.119995,249.119995,13050100
2020-08-06,249.039993,266.600006,248.669998,265.279999,265.279999,45241600
2020-08-07,264.079987,278.890015,263.429993,268.440002,268.440002,72766400
2020-08-10,268.040009,273.859985,259.690002,263.000000,263.000000,30248800
2020-08-11,260.190002,265.920013,255.130005,256.130005,256.130005,28238300
2020-08-12,258.970001,263.899994,258.109985,259.890015,259.890015,21415700
2020-08-13,261.549988,265.160004,259.570007,261.299988,261.299988,17374000
2020-08-14,262.309998,262.649994,258.679993,261.239990,261.239990,14792700
2020-08-17,262.500000,264.100006,259.399994,261.160004,261.160004,13351100
2020-08-18,260.950012,265.149994,259.260010,262.339996,262.339996,18690400
2020-08-19,261.390015,267.910004,261.350006,262.589996,262.589996,23291500
2020-08-20,261.500000,269.630005,261.459991,269.010010,269.010010,20299700
2020-08-21,268.690002,270.489990,266.420013,267.010010,267.010010,15538600
2020-08-24,271.070007,277.250000,268.769989,271.390015,271.390015,23685600
2020-08-25,272.410004,283.089996,270.260010,280.820007,280.820007,42127200
2020-08-26,284.000000,304.670013,284.000000,303.910004,303.910004,69015200
2020-08-27,300.160004,301.230011,292.019989,293.220001,293.220001,30301300
2020-08-28,295.000000,297.230011,290.980011,293.660004,293.660004,17157400
2020-08-31,293.950012,296.880005,291.549988,293.200012,293.200012,17345100
2020-09-01,294.709991,301.489990,292.709991,295.440002,295.440002,17295900
2020-09-02,298.880005,303.600006,293.049988,302.500000,302.500000,24341400
2020-09-03,295.989990,297.600006,283.630005,291.119995,291.119995,32294100
2020-09-04,287.250000,289.000000,271.140015,282.730011,282.730011,30333700
2020-09-08,271.279999,279.299988,269.420013,271.160004,271.160004,24864000
2020-09-09,275.769989,278.480011,271.350006,273.720001,273.720001,22918800
2020-09-10,275.510010,279.160004,267.029999,268.089996,268.089996,24814700
2020-09-11,270.059998,271.390015,262.640015,266.609985,266.609985,18913900
2020-09-14,270.950012,276.640015,265.700012,266.149994,266.149994,24093800
2020-09-15,270.670013,274.519989,269.299988,272.420013,272.420013,18478500
2020-09-16,267.290009,272.440002,261.790009,263.519989,263.519989,29183400
2020-09-17,258.279999,261.500000,250.190002,254.820007,254.820007,31281400
2020-09-18,258.399994,259.200012,250.050003,252.529999,252.529999,28130800
2020-09-21,247.539993,249.949997,244.130005,248.149994,248.149994,24709400
2020-09-22,253.309998,255.320007,248.220001,254.750000,254.750000,30293100
2020-09-23,255.259995,257.989990,248.149994,249.020004,249.020004,19641300
2020-09-24,246.500000,252.240005,245.619995,249.529999,249.529999,20006800
2020-09-25,249.399994,255.750000,246.610001,254.820007,254.820007,18351300
2020-09-28,259.399994,259.600006,254.820007,256.820007,256.820007,18826300
2020-09-29,257.809998,263.329987,256.899994,261.790009,261.790009,20200200
2020-09-30,261.980011,266.079987,260.100006,261.899994,261.899994,20142500
2020-10-01,265.350006,268.329987,264.799988,266.630005,266.630005,20009800
2020-10-02,261.209991,265.149994,259.179993,259.940002,259.940002,16367600
2020-10-05,262.200012,264.869995,260.839996,264.649994,264.649994,12822300
2020-10-06,261.779999,265.690002,258.239990,258.660004,258.660004,18696900
2020-10-07,259.209991,260.179993,254.820007,258.119995,258.119995,23133400
2020-10-08,259.750000,264.619995,259.149994,263.760010,263.760010,16312800
2020-10-09,264.519989,264.750000,262.170013,264.450012,264.450012,14107800
2020-10-12,270.200012,280.179993,267.869995,275.750000,275.750000,31019300
2020-10-13,277.579987,279.100006,273.390015,276.140015,276.140015,18063300
2020-10-14,277.619995,278.750000,271.500000,271.820007,271.820007,15577800
2020-10-15,267.600006,269.040009,263.670013,266.720001,266.720001,15416100
2020-10-16,267.380005,271.369995,265.299988,265.929993,265.929993,16622700
2020-10-19,265.529999,268.549988,259.880005,261.399994,261.399994,13587000
2020-10-20,263.059998,269.700012,262.880005,267.559998,267.559998,18763200
2020-10-21,279.559998,283.049988,276.369995,278.730011,278.730011,28998600
2020-10-22,279.869995,282.450012,275.040009,278.119995,278.119995,16720000
2020-10-23,278.799988,285.239990,276.820007,284.790009,284.790009,17535200
2020-10-26,283.160004,285.230011,274.260010,277.109985,277.109985,21322900
2020-10-27,278.760010,284.510010,276.309998,283.290009,283.290009,16287200
2020-10-28,278.790009,278.790009,267.260010,267.670013,267.670013,23121800
2020-10-29,276.549988,283.600006,273.779999,280.829987,280.829987,32368100
2020-10-30,274.500000,276.700012,259.100006,263.109985,263.109985,47247800
2020-11-02,264.600006,270.470001,257.339996,261.359985,261.359985,27165700
2020-11-03,263.160004,270.049988,260.880005,265.299988,265.299988,17961900
2020-11-04,281.000000,288.940002,278.619995,287.380005,287.380005,35364400
2020-11-05,291.899994,297.380005,288.950012,294.679993,294.679993,23823600
2020-11-06,293.950012,294.600006,288.059998,293.410004,293.410004,13891000
2020-11-09,289.869995,292.579987,278.529999,278.769989,278.769989,25117700
2020-11-10,273.100006,274.000000,264.000000,272.429993,272.429993,29067700
2020-11-11,273.470001,278.399994,272.480011,276.480011,276.480011,14957000
2020-11-12,277.179993,279.750000,274.429993,275.079987,275.079987,12899500
2020-11-13,277.720001,277.760010,273.100006,276.950012,276.950012,10391200
2020-11-16,275.049988,279.410004,274.630005,278.959991,278.959991,12970400
2020-11-17,277.679993,277.679993,273.290009,275.000000,275.000000,15040300
2020-11-18,274.519989,277.390015,271.839996,271.970001,271.970001,12152900
2020-11-19,271.019989,273.470001,269.190002,272.940002,272.940002,12963700
2020-11-20,272.559998,273.000000,269.410004,269.700012,269.700012,18114700
